vehicle_record_id,vehicle_id,registration_number,owner_person_id,vehicle_type,make,model,registration_date,event_datetime,location_id,location,event_type,status,case_id
VREC-000095,V-000397,DL-48-JN-3825,P-001214,TRUCK,Eicher,3223,2026-01-01,2026-01-20 04:13:23,L-000055,"Grain Market, Thoothukudi",MOVED,INACTIVE,
VREC-000096,V-000245,MP-46-BN-9340,P-000310,BIKE,Honda,FZ,2026-01-01,2026-08-03 00:02:25,L-000123,"Old Town, Krishnagiri",REGISTERED,ACTIVE,
VREC-000097,V-000596,KA-97-YK-4872,P-000852,BIKE,Yamaha,Apache,2026-01-01,2026-06-10 08:07:51,L-000165,"Ring Road, Krishnagiri",MOVED,ACTIVE,CR-2026-2005
VREC-000098,V-000205,TN-47-XQ-5506,P-000948,BIKE,Honda,Shine,2026-01-01,2026-05-30 05:23:12,L-000021,"Old Town, Coimbatore",SEEN,ACTIVE,
VREC-000099,V-000247,GJ-38-XB-2897,P-001333,CAR,Toyota,Swift,2026-01-01,2026-05-29 00:04:39,L-000090,"Warehouse Zone, Salem",SEEN,INACTIVE,
VREC-000100,V-000551,MP-20-NQ-1990,P-000148,CAR,Tata,Innova,2026-01-01,2026-07-03 09:24:50,L-000070,"Warehouse Zone, Thanjavur",REGISTERED,ACTIVE,
VREC-000101,V-000149,PB-35-HT-3042,P-000291,VAN,Mahindra,Trax,2026-01-01,2026-02-13 08:03:09,L-000096,"Warehouse Zone, Tiruchirappalli",MOVED,ACTIVE,CR-2026-2018
VREC-000102,V-000071,KA-86-YR-9289,P-000499,CAR,Hyundai,Thar,2026-01-01,2026-04-21 21:43:11,L-000023,"Bus Stand, Kanniyakumari",MOVED,ACTIVE,CR-2026-2001
VREC-000103,V-000013,TN-91-YE-1654,P-000749,CAR,Mahindra,Nexon,2026-01-01,2026-01-31 00:00:08,L-000188,"Railway Station, Chennai",MOVED,ACTIVE,
VREC-000104,V-000326,PB-12-KJ-8433,P-001887,CAR,Tata,Verna,2026-01-01,2026-03-07 14:21:33,L-000031,"Highway Junction, Dindigul",MOVED,ACTIVE,CR-2026-2015
VREC-000105,V-000548,PB-69-CG-2158,P-000829,CAR,Tata,Swift,2026-01-01,2026-08-24 20:43:11,L-000096,"Warehouse Zone, Tiruchirappalli",MOVED,ACTIVE,
VREC-000106,V-000322,MP-03-TK-8991,P-001424,VAN,Mahindra,Supro,2026-01-01,2026-08-31 13:17:50,L-000147,"Port Area, Tiruchirappalli",SEEN,INACTIVE,
VREC-000107,V-000688,TN-46-AY-6719,P-000899,BIKE,Honda,Splendor,2026-01-01,2026-07-25 11:38:26,L-000047,"Industrial Estate, Salem",SEEN,ACTIVE,
VREC-000108,V-000187,HR-23-TZ-8292,P-000643,CAR,Tata,Innova,2026-01-01,2026-01-27 14:12:09,L-000105,"Bypass, Tirunelveli",MOVED,ACTIVE,
VREC-000109,V-000311,WB-83-FV-4890,P-000459,CAR,Honda,Nexon,2026-01-01,2026-02-13 02:26:55,L-000167,"Old Town, Dindigul",SEEN,ACTIVE,
VREC-000110,V-000084,TN-41-BN-7650,P-000395,VAN,Tata,Trax,2026-01-01,2026-03-07 12:54:40,L-000147,"Port Area, Tiruchirappalli",MOVED,ACTIVE,CR-2026-2006
VREC-000111,V-000673,TS-74-XP-6986,P-001982,CAR,Tata,City,2026-01-01,2026-02-27 09:59:02,L-000147,"Port Area, Tiruchirappalli",REGISTERED,ACTIVE,CR-2026-2006
VREC-000112,V-000110,BR-93-SR-5754,P-001185,BIKE,Honda,Pulsar,2026-01-01,2026-05-29 09:50:07,L-000171,"Warehouse Zone, Coimbatore",REGISTERED,ACTIVE,
VREC-000113,V-000104,BR-18-KX-7919,P-000109,BIKE,Yamaha,Apache,2026-01-01,2026-07-17 15:22:15,L-000052,"Bus Stand, Erode",SEEN,ACTIVE,
VREC-000114,V-000587,TN-22-SX-7938,P-000061,CAR,Mahindra,Swift,2026-01-01,2026-08-31 21:03:17,L-000127,"Port Area, Tirunelveli",SEEN,INACTIVE,CR-2026-2016
VREC-000115,V-000207,KA-47-JF-7149,P-000136,VAN,Maruti,Trax,2026-01-01,2026-05-19 17:07:10,L-000016,"University Road, Karur",REGISTERED,ACTIVE,
VREC-000116,V-000375,TN-78-DE-7517,P-001514,CAR,Hyundai,City,2026-01-01,2026-05-16 11:49:53,L-000161,"University Road, Salem",REGISTERED,ACTIVE,CR-2026-2010
VREC-000117,V-000584,HR-66-IH-1228,P-001710,CAR,Maruti,Swift,2026-01-01,2026-08-25 06:27:47,L-000099,"SIPCOT, Madurai",MOVED,ACTIVE,CR-2026-2010
VREC-000118,V-000525,AP-39-CR-1095,P-001173,VAN,Mahindra,Winger,2026-01-01,2026-03-07 20:43:12,L-000005,"SIPCOT, Cuddalore",MOVED,ACTIVE,CR-2026-2004
VREC-000119,V-000072,MP-85-WO-5376,P-000176,CAR,Hyundai,Swift,2026-01-01,2026-07-28 14:10:42,L-000022,"IT Park, Madurai",MOVED,ACTIVE,
VREC-000120,V-000194,TS-90-UC-9486,P-001800,CAR,Mahindra,Swift,2026-01-01,2026-05-23 12:49:24,L-000157,"University Road, Chennai",SEEN,ACTIVE,
VREC-000121,V-000680,KL-18-XV-2471,P-001298,CAR,Maruti,Verna,2026-01-01,2026-02-23 11:44:26,L-000054,"Warehouse Zone, Cuddalore",SEEN,ACTIVE,
VREC-000122,V-000084,TN-41-BN-7650,P-000395,VAN,Tata,Trax,2026-01-01,2026-06-23 21:53:56,L-000052,"Bus Stand, Erode",SEEN,ACTIVE,CR-2026-2006
VREC-000123,V-000474,TN-50-AD-2295,P-001925,CAR,Honda,Swift,2026-01-01,2026-01-19 16:40:52,L-000172,"Warehouse Zone, Chennai",MOVED,ACTIVE,
VREC-000124,V-000049,TS-12-TB-3882,P-000593,CAR,Mahindra,Thar,2026-01-01,2026-08-04 11:56:56,L-000016,"University Road, Karur",SEEN,ACTIVE,
VREC-000125,V-000022,MP-24-UZ-9142,P-000872,CAR,Mahindra,Thar,2026-01-01,2026-07-15 00:23:54,L-000160,"Industrial Estate, Thoothukudi",MOVED,ACTIVE,
VREC-000126,V-000200,WB-87-DZ-9257,P-000683,BIKE,Hero,Splendor,2026-01-01,2026-08-07 01:26:04,L-000005,"SIPCOT, Cuddalore",MOVED,ACTIVE,
VREC-000127,V-000184,KA-69-FV-7887,P-000912,CAR,Hyundai,Verna,2026-01-01,2026-08-13 13:46:47,L-000079,"Warehouse Zone, Salem",MOVED,ACTIVE,CR-2026-2007
VREC-000128,V-000191,TS-17-HB-9329,P-001075,VAN,Maruti,Winger,2026-01-01,2026-01-13 06:54:10,L-000103,"Industrial Estate, Erode",SEEN,ACTIVE,
VREC-000129,V-000563,MP-73-LB-1173,P-001910,CAR,Mahindra,City,2026-01-01,2026-01-04 14:40:40,L-000153,"University Road, Krishnagiri",MOVED,ACTIVE,
VREC-000130,V-000084,TN-41-BN-7650,P-001096,VAN,Tata,Trax,2026-01-01,2026-01-25 20:18:13,L-000091,"Industrial Estate, Nagapattinam",REGISTERED,ACTIVE,CR-2026-2008
VREC-000131,V-000619,AP-39-UT-7175,P-000551,CAR,Hyundai,Verna,2026-01-01,2026-03-20 05:42:20,L-000190,"Residential Colony, Erode",REGISTERED,ACTIVE,
VREC-000132,V-000518,CG-06-QT-1246,P-001453,CAR,Toyota,Verna,2026-01-01,2026-02-26 19:24:55,L-000167,"Old Town, Dindigul",SEEN,ACTIVE,
VREC-000133,V-000048,HR-36-FH-7708,P-000017,CAR,Toyota,Swift,2026-01-01,2026-04-26 06:46:59,L-000082,"Highway Junction, Nagercoil",MOVED,ACTIVE,CR-2026-2006
VREC-000134,V-000398,KL-18-ZI-8565,P-000121,CAR,Maruti,Swift,2026-01-01,2026-05-27 05:46:03,L-000097,"Technology Park, Coimbatore",MOVED,ACTIVE,
VREC-000135,V-000011,MH-62-TZ-9348,P-000289,VAN,Tata,Winger,2026-01-01,2026-07-24 09:46:49,L-000051,"Port Area, Nagapattinam",REGISTERED,ACTIVE,
VREC-000136,V-000693,MP-05-AN-5002,P-001682,CAR,Honda,Verna,2026-01-01,2026-06-14 02:16:47,L-000188,"Railway Station, Chennai",MOVED,ACTIVE,
VREC-000137,V-000090,MH-38-LV-6853,P-001728,BIKE,Bajaj,Pulsar,2026-01-01,2026-02-08 07:51:22,L-000023,"Bus Stand, Kanniyakumari",MOVED,ACTIVE,
VREC-000138,V-000334,KA-42-YS-9297,P-001604,CAR,Mahindra,Innova,2026-01-01,2026-08-02 02:54:55,L-000052,"Bus Stand, Erode",MOVED,ACTIVE,CR-2026-2013
VREC-000139,V-000150,AP-15-MS-4132,P-000040,VAN,Tata,Winger,2026-01-01,2026-05-14 19:07:00,L-000034,"Technology Park, Erode",REGISTERED,ACTIVE,
VREC-000140,V-000413,CG-86-OD-5133,P-001094,CAR,Honda,City,2026-01-01,2026-01-08 19:55:11,L-000105,"Bypass, Tirunelveli",MOVED,ACTIVE,
VREC-000141,V-000349,GJ-63-FG-8588,P-001569,CAR,Toyota,Verna,2026-01-01,2026-08-26 01:04:08,L-000090,"Warehouse Zone, Salem",SEEN,ACTIVE,
VREC-000142,V-000386,UP-92-VS-6656,P-001101,CAR,Honda,Innova,2026-01-01,2026-08-22 11:30:29,L-000058,"Bus Stand, Krishnagiri",REGISTERED,ACTIVE,
