fir_id,case_id,fir_date,incident_date,incident_type,description,location_id,location,jurisdiction,victim_id,complainant_id,primary_person_id,investigator_id,status,severity
FIR-000011,CR-2026-2011,2026-08-29 15:06:05,2026-08-28 21:06:05,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Narcotics probe 11.,L-000129,"Warehouse Zone, Nagercoil",EAST-INV-DIV,P-001050,P-001759,P-001380,INV-0083,OPEN,HIGH
FIR-000012,CR-2026-2009,2026-02-19 08:36:37,2026-02-18 05:36:37,ASSAULT,Fictional assault incident tied to Synthetic Gold Smuggling probe 09.,L-000179,"SIPCOT, Tiruchirappalli",CYBER-CELL-01,P-000355,P-001229,P-000711,INV-0040,OPEN,LOW
FIR-000013,CR-2026-2020,2026-05-26 10:22:43,2026-05-23 17:22:43,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Human Trafficking probe 20.,L-000120,"SIPCOT, Nagapattinam",NARC-BUREAU-01,P-000600,P-000886,P-000535,INV-0135,OPEN,CRITICAL
FIR-000014,CR-2026-2002,2026-08-15 07:05:05,2026-08-13 06:05:05,THEFT,Fictional theft incident tied to Synthetic Phone Fraud probe 02.,L-000020,"Residential Colony, Karur",CYBER-CELL-01,P-001324,P-000352,P-001479,INV-0076,OPEN,HIGH
FIR-000015,CR-2026-2017,2026-02-03 05:31:42,2026-01-31 22:31:42,EXTORTION,Fictional extortion incident tied to Synthetic Logistics Crime probe 17.,L-000058,"Bus Stand, Krishnagiri",SOUTH-POL-SEC,P-000889,P-000697,P-000435,INV-0137,OPEN,MEDIUM
FIR-000016,CR-2026-2015,2026-05-21 16:40:58,2026-05-20 21:40:58,EXTORTION,Fictional extortion incident tied to Synthetic Cyber Fraud probe 15.,L-000102,"Industrial Estate, Hosur",EAST-INV-DIV,P-001887,P-001166,P-001887,INV-0045,UNDER_REVIEW,HIGH
FIR-000017,CR-2026-2011,2026-08-31 01:10:42,2026-08-29 07:10:42,EXTORTION,Fictional extortion incident tied to Synthetic Narcotics probe 11.,L-000023,"Bus Stand, Kanniyakumari",CYBER-CELL-01,P-000870,P-001759,P-001293,INV-0153,CLOSED,HIGH
FIR-000018,CR-2026-2014,2026-04-25 20:25:11,2026-04-24 19:25:11,ASSAULT,Fictional assault incident tied to Synthetic Logistics Crime probe 14.,L-000018,"Bus Stand, Madurai",FIN-CRIME-CELL,P-001072,P-001146,P-000551,INV-0134,CLOSED,MEDIUM
FIR-000019,CR-2026-2014,2026-01-05 22:13:30,2026-01-05 18:13:30,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Logistics Crime probe 14.,L-000132,"Market Road, Karur",NORTH-POL-SEC,P-001072,P-001706,P-001851,INV-0145,CLOSED,CRITICAL
FIR-000020,CR-2026-2001,2026-04-14 07:53:16,2026-04-12 18:53:16,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Cyber Fraud probe 01.,L-000051,"Port Area, Nagapattinam",CYBER-CELL-01,P-001884,P-001997,P-001447,INV-0086,OPEN,MEDIUM
FIR-000021,CR-2026-2002,2026-07-13 09:55:17,2026-07-12 03:55:17,THEFT,Fictional theft incident tied to Synthetic Phone Fraud probe 02.,L-000129,"Warehouse Zone, Nagercoil",CYBER-CELL-01,P-000481,P-001936,P-000471,INV-0155,CLOSED,HIGH
FIR-000022,CR-2026-2003,2026-07-21 14:59:11,2026-07-19 13:59:11,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Gold Smuggling probe 03.,L-000160,"Industrial Estate, Thoothukudi",CEN-CRIME-UNIT-01,P-001115,P-000595,P-000205,INV-0136,OPEN,MEDIUM
FIR-000023,CR-2026-2003,2026-04-28 02:27:59,2026-04-25 04:27:59,EXTORTION,Fictional extortion incident tied to Synthetic Gold Smuggling probe 03.,L-000091,"Industrial Estate, Nagapattinam",NORTH-POL-SEC,P-001329,P-000205,P-000595,INV-0021,OPEN,MEDIUM
FIR-000024,CR-2026-2008,2026-04-12 05:53:33,2026-04-10 12:53:33,SMUGGLING,Fictional smuggling incident tied to Synthetic Financial Fraud probe 08.,L-000105,"Bypass, Tirunelveli",CEN-CRIME-UNIT-01,P-000652,P-000786,P-000372,INV-0159,OPEN,HIGH
FIR-000025,CR-2026-2013,2026-03-18 08:55:02,2026-03-15 11:55:02,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Narcotics probe 13.,L-000099,"SIPCOT, Madurai",CEN-CRIME-UNIT-03,P-001254,P-001490,P-001254,INV-0040,OPEN,CRITICAL
FIR-000026,CR-2026-2014,2026-08-27 10:43:51,2026-08-27 05:43:51,SMUGGLING,Fictional smuggling incident tied to Synthetic Logistics Crime probe 14.,L-000167,"Old Town, Dindigul",CEN-CRIME-UNIT-03,P-001298,P-000712,P-001183,INV-0140,OPEN,CRITICAL
FIR-000027,CR-2026-2007,2026-06-26 05:10:02,2026-06-25 23:10:02,ASSAULT,Fictional assault incident tied to Synthetic Cyber Fraud probe 07.,L-000184,"Market Road, Madurai",EAST-INV-DIV,P-001042,P-000115,P-001689,INV-0114,OPEN,MEDIUM
FIR-000028,CR-2026-2001,2026-07-17 21:11:38,2026-07-16 14:11:38,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Cyber Fraud probe 01.,L-000015,"SIPCOT, Kanniyakumari",CEN-CRIME-UNIT-03,P-000248,P-001884,P-000981,INV-0069,OPEN,MEDIUM
FIR-000029,CR-2026-2012,2026-07-27 09:29:06,2026-07-26 16:29:06,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Illegal Trade probe 12.,L-000131,"Warehouse Zone, Kanniyakumari",FIN-CRIME-CELL,P-001239,P-001382,P-001060,INV-0045,OPEN,MEDIUM
FIR-000030,CR-2026-2014,2026-04-28 22:33:06,2026-04-26 17:33:06,SMUGGLING,Fictional smuggling incident tied to Synthetic Logistics Crime probe 14.,L-000032,"Residential Colony, Nagapattinam",WEST-INV-DIV,P-001555,P-000704,P-000043,INV-0151,OPEN,MEDIUM
FIR-000031,CR-2026-2003,2026-05-01 21:47:15,2026-04-29 22:47:15,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Gold Smuggling probe 03.,L-000165,"Ring Road, Krishnagiri",FIN-CRIME-CELL,P-000635,P-001115,P-001620,INV-0157,CLOSED,HIGH
FIR-000032,CR-2026-2017,2026-07-25 05:07:32,2026-07-24 06:07:32,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Logistics Crime probe 17.,L-000152,"Warehouse Zone, Coimbatore",WEST-INV-DIV,P-000584,P-001251,P-000562,INV-0060,OPEN,HIGH
FIR-000033,CR-2026-2007,2026-06-21 22:02:13,2026-06-21 09:02:13,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Cyber Fraud probe 07.,L-000090,"Warehouse Zone, Salem",NARC-BUREAU-01,P-001042,P-000115,P-001402,INV-0040,CLOSED,MEDIUM
FIR-000034,CR-2026-2007,2026-03-28 17:04:55,2026-03-25 20:04:55,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Cyber Fraud probe 07.,L-000012,"Bus Stand, Madurai",EAST-INV-DIV,P-001298,P-001367,P-000192,INV-0112,OPEN,MEDIUM
FIR-000035,CR-2026-2020,2026-08-22 06:24:18,2026-08-19 11:24:18,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Human Trafficking probe 20.,L-000054,"Warehouse Zone, Cuddalore",NORTH-POL-SEC,P-000157,P-000600,P-001357,INV-0026,OPEN,HIGH
FIR-000036,CR-2026-2006,2026-07-10 12:13:22,2026-07-07 14:13:22,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Logistics Crime probe 06.,L-000054,"Warehouse Zone, Cuddalore",EAST-INV-DIV,P-000584,P-000562,P-001055,INV-0109,UNDER_REVIEW,CRITICAL
FIR-000037,CR-2026-2007,2026-04-01 18:16:57,2026-03-31 02:16:57,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Cyber Fraud probe 07.,L-000021,"Old Town, Coimbatore",NARC-BUREAU-01,P-001042,P-001718,P-000666,INV-0055,OPEN,MEDIUM
FIR-000038,CR-2026-2014,2026-05-29 19:09:21,2026-05-28 04:09:21,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Logistics Crime probe 14.,L-000072,"Warehouse Zone, Erode",SOUTH-POL-SEC,P-001766,P-001146,P-000712,INV-0115,OPEN,HIGH
FIR-000039,CR-2026-2003,2026-07-15 03:47:47,2026-07-13 11:47:47,SMUGGLING,Fictional smuggling incident tied to Synthetic Gold Smuggling probe 03.,L-000021,"Old Town, Coimbatore",EAST-INV-DIV,P-001329,P-000205,P-001826,INV-0005,CLOSED,LOW
FIR-000040,CR-2026-2013,2026-02-27 13:05:39,2026-02-26 10:05:39,THEFT,Fictional theft incident tied to Synthetic Narcotics probe 13.,L-000021,"Old Town, Coimbatore",WEST-INV-DIV,P-001933,P-001254,P-000360,INV-0096,CLOSED,HIGH
FIR-000041,CR-2026-2002,2026-03-24 12:49:49,2026-03-23 11:49:49,ASSAULT,Fictional assault incident tied to Synthetic Phone Fraud probe 02.,L-000082,"Highway Junction, Nagercoil",FIN-CRIME-CELL,P-001658,P-000641,P-001479,INV-0052,UNDER_REVIEW,MEDIUM
FIR-000042,CR-2026-2013,2026-05-16 18:21:01,2026-05-16 06:21:01,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Narcotics probe 13.,L-000188,"Railway Station, Chennai",NORTH-POL-SEC,P-000894,P-001254,P-000362,INV-0075,OPEN,CRITICAL
FIR-000043,CR-2026-2015,2026-07-24 07:20:10,2026-07-21 12:20:10,EXTORTION,Fictional extortion incident tied to Synthetic Cyber Fraud probe 15.,L-000095,"Port Area, Nagercoil",CYBER-CELL-01,P-001773,P-001653,P-001967,INV-0086,OPEN,MEDIUM
FIR-000044,CR-2026-2005,2026-08-25 16:35:24,2026-08-24 17:35:24,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Financial Fraud probe 05.,L-000015,"SIPCOT, Kanniyakumari",SOUTH-POL-SEC,P-000843,P-001231,P-001437,INV-0039,OPEN,MEDIUM
FIR-000045,CR-2026-2014,2026-01-16 13:40:47,2026-01-15 08:40:47,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Logistics Crime probe 14.,L-000052,"Bus Stand, Erode",FIN-CRIME-CELL,P-000043,P-000419,P-001298,INV-0022,CLOSED,CRITICAL
FIR-000046,CR-2026-2001,2026-04-17 10:09:44,2026-04-14 21:09:44,EXTORTION,Fictional extortion incident tied to Synthetic Cyber Fraud probe 01.,L-000054,"Warehouse Zone, Cuddalore",CYBER-CELL-01,P-000981,P-001997,P-000370,INV-0049,CLOSED,HIGH
FIR-000047,CR-2026-2005,2026-02-17 04:57:14,2026-02-16 09:57:14,ASSAULT,Fictional assault incident tied to Synthetic Financial Fraud probe 05.,L-000009,"Highway Junction, Krishnagiri",SOUTH-POL-SEC,P-000900,P-001921,P-001437,INV-0149,UNDER_REVIEW,MEDIUM
FIR-000048,CR-2026-2003,2026-05-18 10:31:20,2026-05-16 05:31:20,SMUGGLING,Fictional smuggling incident tied to Synthetic Gold Smuggling probe 03.,L-000090,"Warehouse Zone, Salem",SOUTH-POL-SEC,P-001329,P-000595,P-001115,INV-0007,CLOSED,CRITICAL
FIR-000049,CR-2026-2020,2026-07-12 22:15:32,2026-07-11 20:15:32,THEFT,Fictional theft incident tied to Synthetic Human Trafficking probe 20.,L-000153,"University Road, Krishnagiri",CYBER-CELL-01,P-001817,P-001007,P-001337,INV-0150,CLOSED,CRITICAL
FIR-000050,CR-2026-2009,2026-08-11 12:14:31,2026-08-09 04:14:31,THEFT,Fictional theft incident tied to Synthetic Gold Smuggling probe 09.,L-000009,"Highway Junction, Krishnagiri",CEN-CRIME-UNIT-02,P-001195,P-000360,P-000358,INV-0063,CLOSED,MEDIUM
FIR-000051,CR-2026-2014,2026-06-17 09:41:49,2026-06-16 13:41:49,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Logistics Crime probe 14.,L-000091,"Industrial Estate, Nagapattinam",CEN-CRIME-UNIT-02,P-001273,P-001072,P-001072,INV-0152,OPEN,HIGH
FIR-000052,CR-2026-2018,2026-02-23 10:45:55,2026-02-20 15:45:55,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Human Trafficking probe 18.,L-000173,"Technology Park, Madurai",FIN-CRIME-CELL,P-001752,P-001197,P-001436,INV-0021,OPEN,MEDIUM
FIR-000053,CR-2026-2009,2026-09-01 00:41:27,2026-08-29 04:41:27,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Gold Smuggling probe 09.,L-000121,"Residential Colony, Nagercoil",FIN-CRIME-CELL,P-000868,P-001360,P-000360,INV-0152,CLOSED,MEDIUM
FIR-000054,CR-2026-2017,2026-08-26 20:16:29,2026-08-24 12:16:29,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Logistics Crime probe 17.,L-000088,"Bus Stand, Hosur",FIN-CRIME-CELL,P-000773,P-001042,P-000881,INV-0044,CLOSED,MEDIUM
FIR-000055,CR-2026-2007,2026-08-09 08:27:15,2026-08-07 20:27:15,ASSAULT,Fictional assault incident tied to Synthetic Cyber Fraud probe 07.,L-000020,"Residential Colony, Karur",CEN-CRIME-UNIT-02,P-000666,P-001863,P-001847,INV-0101,CLOSED,LOW
FIR-000056,CR-2026-2007,2026-03-05 00:34:05,2026-03-02 00:34:05,THEFT,Fictional theft incident tied to Synthetic Cyber Fraud probe 07.,L-000093,"Residential Colony, Krishnagiri",FIN-CRIME-CELL,P-001042,P-001684,P-001762,INV-0127,OPEN,MEDIUM
FIR-000057,CR-2026-2014,2026-06-05 16:58:50,2026-06-02 17:58:50,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Logistics Crime probe 14.,L-000160,"Industrial Estate, Thoothukudi",NORTH-POL-SEC,P-001682,P-000676,P-000335,INV-0012,CLOSED,HIGH
FIR-000058,CR-2026-2018,2026-04-09 15:26:41,2026-04-09 02:26:41,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Human Trafficking probe 18.,L-000082,"Highway Junction, Nagercoil",CEN-CRIME-UNIT-01,P-001316,P-000046,P-001748,INV-0079,UNDER_REVIEW,HIGH
FIR-000059,CR-2026-2018,2026-02-22 12:21:09,2026-02-20 08:21:09,SMUGGLING,Fictional smuggling incident tied to Synthetic Human Trafficking probe 18.,L-000105,"Bypass, Tirunelveli",CYBER-CELL-01,P-000046,P-001734,P-000837,INV-0027,CLOSED,CRITICAL
FIR-000060,CR-2026-2016,2026-05-09 16:37:13,2026-05-07 03:37:13,SMUGGLING,Fictional smuggling incident tied to Synthetic Phone Fraud probe 16.,L-000012,"Bus Stand, Madurai",EAST-INV-DIV,P-001126,P-001644,P-001644,INV-0107,CLOSED,HIGH
FIR-000061,CR-2026-2001,2026-01-05 23:41:37,2026-01-04 09:41:37,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Cyber Fraud probe 01.,L-000137,"Technology Park, Nagapattinam",WEST-INV-DIV,P-000023,P-000248,P-000602,INV-0039,OPEN,CRITICAL
FIR-000062,CR-2026-2001,2026-02-25 14:40:38,2026-02-24 19:40:38,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Cyber Fraud probe 01.,L-000144,"Technology Park, Nagapattinam",CYBER-CELL-01,P-000370,P-001346,P-001997,INV-0041,CLOSED,HIGH
FIR-000063,CR-2026-2010,2026-05-22 15:43:41,2026-05-22 06:43:41,ASSAULT,Fictional assault incident tied to Synthetic Vehicle Theft probe 10.,L-000070,"Warehouse Zone, Thanjavur",CEN-CRIME-UNIT-01,P-001281,P-001603,P-000473,INV-0109,CLOSED,MEDIUM
FIR-000064,CR-2026-2009,2026-07-09 12:35:10,2026-07-08 14:35:10,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Gold Smuggling probe 09.,L-000016,"University Road, Karur",SOUTH-POL-SEC,P-001101,P-000887,P-001960,INV-0150,OPEN,MEDIUM
FIR-000065,CR-2026-2002,2026-06-03 11:29:56,2026-06-03 02:29:56,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Phone Fraud probe 02.,L-000124,"Technology Park, Nagapattinam",CEN-CRIME-UNIT-02,P-000379,P-000352,P-001076,INV-0139,CLOSED,CRITICAL
FIR-000066,CR-2026-2003,2026-05-11 03:14:15,2026-05-10 22:14:15,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Gold Smuggling probe 03.,L-000072,"Warehouse Zone, Erode",CEN-CRIME-UNIT-02,P-000205,P-001826,P-000635,INV-0107,OPEN,HIGH
FIR-000067,CR-2026-2007,2026-07-16 15:20:43,2026-07-15 09:20:43,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Cyber Fraud probe 07.,L-000015,"SIPCOT, Kanniyakumari",WEST-INV-DIV,P-001684,P-001689,P-000192,INV-0011,OPEN,MEDIUM
FIR-000068,CR-2026-2001,2026-03-10 11:36:36,2026-03-09 18:36:36,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Cyber Fraud probe 01.,L-000099,"SIPCOT, Madurai",SOUTH-POL-SEC,P-000370,P-000602,P-000023,INV-0040,OPEN,MEDIUM
FIR-000069,CR-2026-2018,2026-05-15 21:59:39,2026-05-15 00:59:39,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Human Trafficking probe 18.,L-000015,"SIPCOT, Kanniyakumari",FIN-CRIME-CELL,P-000046,P-000166,P-001769,INV-0082,OPEN,MEDIUM
FIR-000070,CR-2026-2009,2026-05-31 23:36:21,2026-05-31 16:36:21,ASSAULT,Fictional assault incident tied to Synthetic Gold Smuggling probe 09.,L-000121,"Residential Colony, Nagercoil",CYBER-CELL-01,P-001195,P-000496,P-001299,INV-0054,OPEN,CRITICAL
FIR-000071,CR-2026-2010,2026-06-04 02:13:10,2026-06-03 04:13:10,THEFT,Fictional theft incident tied to Synthetic Vehicle Theft probe 10.,L-000172,"Warehouse Zone, Chennai",FIN-CRIME-CELL,P-001273,P-001110,P-001281,INV-0088,OPEN,MEDIUM
FIR-000072,CR-2026-2001,2026-01-21 08:38:25,2026-01-21 03:38:25,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Cyber Fraud probe 01.,L-000079,"Warehouse Zone, Salem",CYBER-CELL-01,P-001448,P-000464,P-001346,INV-0096,UNDER_REVIEW,MEDIUM
FIR-000073,CR-2026-2009,2026-01-11 16:18:12,2026-01-11 07:18:12,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Gold Smuggling probe 09.,L-000045,"Industrial Estate, Cuddalore",NORTH-POL-SEC,P-001101,P-000984,P-001960,INV-0128,UNDER_REVIEW,CRITICAL
FIR-000074,CR-2026-2008,2026-08-02 10:21:03,2026-07-30 17:21:03,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Financial Fraud probe 08.,L-000197,"IT Park, Tirunelveli",EAST-INV-DIV,P-000786,P-000655,P-000652,INV-0122,UNDER_REVIEW,CRITICAL
FIR-000075,CR-2026-2006,2026-07-20 18:27:28,2026-07-19 19:27:28,ASSAULT,Fictional assault incident tied to Synthetic Logistics Crime probe 06.,L-000171,"Warehouse Zone, Coimbatore",CEN-CRIME-UNIT-02,P-001702,P-001838,P-000395,INV-0001,CLOSED,MEDIUM
FIR-000076,CR-2026-2016,2026-06-28 22:40:15,2026-06-27 06:40:15,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Phone Fraud probe 16.,L-000054,"Warehouse Zone, Cuddalore",NARC-BUREAU-01,P-001072,P-000938,P-001766,INV-0011,CLOSED,HIGH
FIR-000077,CR-2026-2012,2026-01-11 06:25:43,2026-01-10 19:25:43,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Illegal Trade probe 12.,L-000033,"Old Town, Erode",FIN-CRIME-CELL,P-000760,P-000528,P-001951,INV-0140,OPEN,HIGH
FIR-000078,CR-2026-2015,2026-05-05 20:48:18,2026-05-03 09:48:18,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Cyber Fraud probe 15.,L-000015,"SIPCOT, Kanniyakumari",CEN-CRIME-UNIT-01,P-001653,P-001853,P-001294,INV-0056,CLOSED,HIGH
FIR-000079,CR-2026-2012,2026-01-20 13:23:04,2026-01-18 07:23:04,EXTORTION,Fictional extortion incident tied to Synthetic Illegal Trade probe 12.,L-000094,"IT Park, Hosur",EAST-INV-DIV,P-001239,P-000760,P-000528,INV-0132,CLOSED,HIGH
FIR-000080,CR-2026-2006,2026-02-14 11:44:28,2026-02-13 19:44:28,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Logistics Crime probe 06.,L-000181,"Highway Junction, Chennai",CEN-CRIME-UNIT-02,P-001702,P-001644,P-000134,INV-0111,CLOSED,CRITICAL
FIR-000081,CR-2026-2005,2026-01-28 05:18:36,2026-01-25 15:18:36,ASSAULT,Fictional assault incident tied to Synthetic Financial Fraud probe 05.,L-000072,"Warehouse Zone, Erode",CEN-CRIME-UNIT-02,P-001656,P-001714,P-000900,INV-0010,OPEN,HIGH
FIR-000082,CR-2026-2003,2026-01-11 18:36:50,2026-01-08 22:36:50,FINANCIAL_FRAUD,Fictional financial fraud incident tied to Synthetic Gold Smuggling probe 03.,L-000052,"Bus Stand, Erode",NARC-BUREAU-01,P-001115,P-001115,P-000193,INV-0112,OPEN,CRITICAL
FIR-000083,CR-2026-2008,2026-03-22 23:17:59,2026-03-20 22:17:59,ASSAULT,Fictional assault incident tied to Synthetic Financial Fraud probe 08.,L-000181,"Highway Junction, Chennai",CEN-CRIME-UNIT-02,P-000548,P-001317,P-000655,INV-0014,UNDER_REVIEW,CRITICAL
FIR-000084,CR-2026-2007,2026-01-14 01:00:18,2026-01-13 21:00:18,SMUGGLING,Fictional smuggling incident tied to Synthetic Cyber Fraud probe 07.,L-000084,"Residential Colony, Karur",WEST-INV-DIV,P-001042,P-001847,P-000115,INV-0014,OPEN,HIGH
FIR-000085,CR-2026-2020,2026-06-25 14:00:18,2026-06-25 04:00:18,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Human Trafficking probe 20.,L-000188,"Railway Station, Chennai",CYBER-CELL-01,P-001035,P-000535,P-001817,INV-0091,CLOSED,HIGH
FIR-000086,CR-2026-2005,2026-03-26 05:13:03,2026-03-25 20:13:03,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Financial Fraud probe 05.,L-000160,"Industrial Estate, Thoothukudi",NARC-BUREAU-01,P-001545,P-001832,P-001437,INV-0078,CLOSED,CRITICAL
FIR-000087,CR-2026-2017,2026-07-19 08:15:05,2026-07-18 20:15:05,EXTORTION,Fictional extortion incident tied to Synthetic Logistics Crime probe 17.,L-000147,"Port Area, Tiruchirappalli",EAST-INV-DIV,P-000435,P-000562,P-001128,INV-0072,CLOSED,HIGH
FIR-000088,CR-2026-2013,2026-04-02 07:15:29,2026-03-31 00:15:29,ASSAULT,Fictional assault incident tied to Synthetic Narcotics probe 13.,L-000102,"Industrial Estate, Hosur",CEN-CRIME-UNIT-03,P-001590,P-000891,P-000583,INV-0039,OPEN,MEDIUM
FIR-000089,CR-2026-2010,2026-05-13 15:48:57,2026-05-10 16:48:57,ASSAULT,Fictional assault incident tied to Synthetic Vehicle Theft probe 10.,L-000188,"Railway Station, Chennai",CEN-CRIME-UNIT-02,P-001247,P-001110,P-001273,INV-0067,CLOSED,HIGH
FIR-000090,CR-2026-2018,2026-03-22 03:25:47,2026-03-19 19:25:47,ASSAULT,Fictional assault incident tied to Synthetic Human Trafficking probe 18.,L-000121,"Residential Colony, Nagercoil",CEN-CRIME-UNIT-01,P-001775,P-000169,P-000902,INV-0054,UNDER_REVIEW,CRITICAL
FIR-000091,CR-2026-2008,2026-05-03 06:31:40,2026-04-30 17:31:40,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Financial Fraud probe 08.,L-000147,"Port Area, Tiruchirappalli",EAST-INV-DIV,P-000652,P-000548,P-000786,INV-0059,UNDER_REVIEW,CRITICAL
FIR-000092,CR-2026-2001,2026-08-05 23:27:53,2026-08-03 22:27:53,EXTORTION,Fictional extortion incident tied to Synthetic Cyber Fraud probe 01.,L-000114,"Ring Road, Thanjavur",CYBER-CELL-01,P-000981,P-001884,P-001997,INV-0130,OPEN,HIGH
